run_accession,sample_name,sample_acc,experiment,library_name,sra_study,center_name,platform,assay_type,librarysource,organism,releasedate,bases,size_in_bytes,size_in_GB,disease_sam,disease_stage_sam_s_dpl172,tissue_sam,run_file_create_date
SRR8615734,OVMANA_OVARY,SRS4395663,SRX5414666,RNASeq-OVMANA_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16336956242,8221161106,8.22,carcinoma (clear_cell_carcinoma),primary,ovary,2019-02-23T23:59:00.000Z
SRR8615231,MESSA_SOFT_TISSUE,SRS4395547,SRX5414522,RNASeq-MESSA_SOFT_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,12270092868,5874936339,5.87,sarcoma,primary,soft_tissue,2019-02-23T22:44:00.000Z
SRR8615546,LN464_CENTRAL_NERVOUS_SYSTEM,SRS4395809,SRX5414854,RNASeq-LN464_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18928001960,10110792438,10.11,glioma (astrocytoma_Grade_IV),NA,central_nervous_system,2019-02-23T23:30:00.000Z
SRR8615909,KMBC2_URINARY_TRACT,SRS4396038,SRX5415141,RNASeq-KMBC2_URINARY_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14389635438,6773910727,6.77,carcinoma,primary,urinary_tract,2019-02-24T00:01:00.000Z
SRR8615622,HEC251_ENDOMETRIUM,SRS4395759,SRX5414778,RNASeq-HEC251_ENDOMETRIUM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16649139162,8177579696,8.18,carcinoma (adenocarcinoma),primary,endometrium,2019-02-23T23:32:00.000Z
SRR8615363,KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395431,SRX5414390,RNASeq-KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14901990056,7005917681,7.01,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M2)",primary,haematopoietic_and_lymphoid_tissue,2019-02-23T22:53:00.000Z
SRR8615566,SNU1105_CENTRAL_NERVOUS_SYSTEM,SRS4395794,SRX5414834,RNASeq-SNU1105_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15645038976,7840232805,7.84,"glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)",primary,central_nervous_system,2019-02-23T23:28:00.000Z
SRR8615582,MDAMB415_BREAST,SRS4395782,SRX5414818,RNASeq-MDAMB415_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15148447226,7140286865,7.14,carcinoma,metastasis,breast,2019-02-23T23:24:00.000Z
SRR8616003,DMS153_LUNG,SRS4395962,SRX5415047,RNASeq-DMS153_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18366064018,9062102940,9.06,carcinoma (small_cell_carcinoma),metastasis,lung,2019-02-24T00:37:00.000Z
SRR8615963,CORL105_LUNG,SRS4395193,SRX5415087,RNASeq-CORL105_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22167333146,12434752897,12.43,carcinoma (adenocarcinoma),primary,lung,2019-02-24T00:40:00.000Z
SRR8616138,CJM_SKIN,SRS4395150,SRX5414912,RNASeq-CJM_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,23831785068,13351822663,13.35,malignant_melanoma,metastasis,skin,2019-02-24T01:20:00.000Z
SRR8618305,VCAP_PROSTATE,SRS4397851,SRX5417211,RNASeq-VCAP_PROSTATE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,27508630276,13991231805,13.99,carcinoma (adenocarcinoma),metastasis,prostate,2019-02-25T10:40:00.000Z
SRR8615501,SKNBE2_AUTONOMIC_GANGLIA,SRS4395322,SRX5414252,RNASeq-SKNBE2_AUTONOMIC_GANGLIA,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21468270534,11589607103,11.59,neuroblastoma,metastasis,autonomic_ganglia,2019-02-23T23:25:00.000Z
SRR8615499,SKNEP1_BONE,SRS4395324,SRX5414254,RNASeq-SKNEP1_BONE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,12618949494,5775185200,5.78,NA,NA,bone,2019-02-23T23:12:00.000Z
SRR8615593,RCM1_LARGE_INTESTINE,SRS4395168,SRX5414807,RNASeq-RCM1_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20523909424,11065778891,11.07,carcinoma (adenocarcinoma),primary,large_intestine,2019-02-23T23:37:00.000Z
SRR8615912,KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4396035,SRX5415138,RNASeq-KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15105136810,7118951065,7.12,lymphoid_neoplasm (anaplastic_large_cell_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-24T00:04:00.000Z
SRR8616021,A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395947,SRX5415029,RNASeq-A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18516880248,9309791317,9.31,lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-24T00:45:00.000Z
SRR8616217,EPLC272H_LUNG,SRS4395111,SRX5415185,RNASeq-EPLC272H_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,25384979834,12742773067,12.74,carcinoma (squamous_cell_carcinoma),primary,lung,2019-02-24T01:21:00.000Z
SRR8615785,HS688AT_FIBROBLAST,SRS4395620,SRX5414615,RNASeq-HS688AT_FIBROBLAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16931206508,8304812665,8.3,malignant_melanoma,primary,skin,2019-02-24T00:05:00.000Z
SRR8616055,SKMEL30_SKIN,SRS4395924,SRX5414995,RNASeq-SKMEL30_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15710119336,7893236917,7.89,malignant_melanoma,metastasis,skin,2019-02-24T00:46:00.000Z
SRR8615485,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395334,SRX5414268,RNASeq-L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17752844538,9497868259,9.5,lymphoid_neoplasm (plasma_cell_myeloma),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:21:00.000Z
SRR8615595,RD_SOFT_TISSUE,SRS4395773,SRX5414805,RNASeq-RD_SOFT_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,25215147324,13558563740,13.56,rhabdomyosarcoma (embryonal),primary,soft_tissue,2019-02-23T23:54:00.000Z
SRR8615567,SW1783_CENTRAL_NERVOUS_SYSTEM,SRS4395793,SRX5414833,RNASeq-SW1783_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16295515336,8185173588,8.19,"glioma (astrocytoma_Grade_III, anaplastic)",primary,central_nervous_system,2019-02-23T23:35:00.000Z
SRR8615262,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395519,SRX5414491,RNASeq-OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15646113818,7839582387,7.84,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M6)",primary,haematopoietic_and_lymphoid_tissue,2019-02-23T22:59:00.000Z
SRR8616061,MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395920,SRX5414989,RNASeq-MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22945712472,12328353314,12.33,"lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia, L2)",primary,haematopoietic_and_lymphoid_tissue,2019-02-24T01:13:00.000Z
SRR8615614,NCIH1876_LUNG,SRS4395764,SRX5414786,RNASeq-NCIH1876_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17471348246,8633842303,8.63,carcinoma (small_cell_carcinoma),metastasis,lung,2019-02-23T23:30:00.000Z
SRR8615298,PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,SRS4395486,SRX5414455,RNASeq-PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17484493396,9413258971,9.41,carcinoma (squamous_cell_carcinoma),primary,upper_aerodigestive_tract,2019-02-23T22:57:00.000Z
SRR8615748,SF539_CENTRAL_NERVOUS_SYSTEM,SRS4395649,SRX5414652,RNASeq-SF539_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22899633242,12307704251,12.31,glioma,primary,central_nervous_system,2019-02-24T00:15:00.000Z
SRR8615443,NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395368,SRX5414310,RNASeq-NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21865767346,11692347150,11.69,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)",primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:02:00.000Z
SRR8615291,EFE184_ENDOMETRIUM,SRS4395493,SRX5414462,RNASeq-EFE184_ENDOMETRIUM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18802999512,10074398514,10.07,carcinoma,metastasis,endometrium,2019-02-23T23:01:00.000Z
SRR8615396,LS1034_LARGE_INTESTINE,SRS4395269,SRX5414357,RNASeq-LS1034_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15215802308,7236885551,7.24,carcinoma (adenocarcinoma),primary,large_intestine,2019-02-23T22:52:00.000Z
SRR8615715,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395680,SRX5414685,RNASeq-KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,12801638294,6081026791,6.08,lymphoid_neoplasm (anaplastic_large_cell_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:33:00.000Z
SRR8615361,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395433,SRX5414392,RNASeq-KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17839967946,8793297021,8.79,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M2)",primary,haematopoietic_and_lymphoid_tissue,2019-02-23T22:55:00.000Z
SRR8615931,SNU213_PANCREAS,SRS4396019,SRX5415119,RNASeq-SNU213_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20384567400,10977572131,10.98,carcinoma,primary,pancreas,2019-02-24T00:37:00.000Z
SRR8618315,VMRCRCZ_KIDNEY,SRS4397841,SRX5417201,RNASeq-VMRCRCZ_KIDNEY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15732031690,7711539104,7.71,carcinoma (renal_cell_carcinoma),primary,kidney,2019-02-25T10:14:00.000Z
SRR8616090,SH4_SKIN,SRS4395894,SRX5414960,RNASeq-SH4_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22289673638,11976430993,11.98,malignant_melanoma,metastasis,skin,2019-02-24T01:01:00.000Z
SRR8615649,A1207_CENTRAL_NERVOUS_SYSTEM,SRS4395736,SRX5414751,RNASeq-A1207_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,12577931374,6711232386,6.71,glioma,NA,central_nervous_system,2019-02-23T23:24:00.000Z
SRR8615370,PANC0504_PANCREAS,SRS4395426,SRX5414383,RNASeq-PANC0504_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20085339750,10597872172,10.6,carcinoma,primary,pancreas,2019-02-23T22:54:00.000Z
SRR8616121,BICR16_UPPER_AERODIGESTIVE_TRACT,SRS4395869,SRX5414929,RNASeq-BICR16_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,25177447054,13973914629,13.97,carcinoma (squamous_cell_carcinoma),primary,upper_aerodigestive_tract,2019-02-24T01:03:00.000Z
SRR8615424,HS616T_FIBROBLAST,SRS4395382,SRX5414329,RNASeq-HS616T_FIBROBLAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17930413850,8765207455,8.77,lymphoid_neoplasm (Hodgkin_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T22:52:00.000Z
SRR8615528,CAL851_BREAST,SRS4395296,SRX5414225,RNASeq-CAL851_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,23362983064,13065824333,13.07,carcinoma,primary,breast,2019-02-23T23:34:00.000Z
SRR8615690,U251MG_CENTRAL_NERVOUS_SYSTEM,SRS4395702,SRX5414710,RNASeq-U251MG_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15676185154,7868884900,7.87,glioma (astrocytoma),primary,central_nervous_system,2019-02-23T23:51:00.000Z
SRR8615691,PATU8902_PANCREAS,SRS4395701,SRX5414709,RNASeq-PATU8902_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19619480482,9837669305,9.84,carcinoma (ductal_carcinoma),primary,pancreas,2019-02-23T23:55:00.000Z
SRR8616210,HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4396086,SRX5415192,RNASeq-HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21409816380,10530848616,10.53,lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia),primary,haematopoietic_and_lymphoid_tissue,2019-02-24T01:20:00.000Z
SRR8615603,NCIH1944_LUNG,SRS4395209,SRX5414797,RNASeq-NCIH1944_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,23456505226,12368317900,12.37,carcinoma (non_small_cell_carcinoma),metastasis,lung,2019-02-23T23:56:00.000Z
SRR8615226,OE19_OESOPHAGUS,SRS4395552,SRX5414527,RNASeq-OE19_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18687851634,9880139166,9.88,carcinoma (adenocarcinoma),primary,oesophagus,2019-02-23T23:00:00.000Z
SRR8615801,RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395610,SRX5414599,RNASeq-RI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22262570288,11975548463,11.98,lymphoid_neoplasm (B_cell_lymphoma_unspecified),primary,haematopoietic_and_lymphoid_tissue,2019-02-24T00:11:00.000Z
SRR8615368,SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395428,SRX5414385,RNASeq-SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,10129131026,4781051323,4.78,lymphoid_neoplasm (diffuse_large_B_cell_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T22:39:00.000Z
SRR8616114,NCIH226_LUNG,SRS4395875,SRX5414936,RNASeq-NCIH226_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14877050934,7482182673,7.48,carcinoma (squamous_cell_carcinoma),metastasis,lung,2019-02-24T01:03:00.000Z
SRR8615757,MCAS_OVARY,SRS4395158,SRX5414643,RNASeq-MCAS_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,12766895102,6044064634,6.04,carcinoma (adenocarcinoma),primary,ovary,2019-02-23T23:47:00.000Z
SRR8615479,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395340,SRX5414274,RNASeq-L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15542995848,7305498943,7.31,lymphoid_neoplasm (Hodgkin_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:18:00.000Z
SRR8615686,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395706,SRX5414714,RNASeq-MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21681289836,11491986570,11.49,lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:56:00.000Z
SRR8615252,NCIH2073_LUNG,SRS4395204,SRX5414501,RNASeq-NCIH2073_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20902416620,11114970587,11.11,carcinoma (adenocarcinoma),primary,lung,2019-02-23T23:04:00.000Z
SRR8615735,FU97_STOMACH,SRS4395662,SRX5414665,RNASeq-FU97_STOMACH,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19414410486,9611254439,9.61,carcinoma (diffuse_adenocarcinoma),primary,stomach,2019-02-24T00:03:00.000Z
SRR8616175,HCC202_BREAST,SRS4395823,SRX5414875,RNASeq-HCC202_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16305331728,8048711022,8.05,carcinoma (ductal_carcinoma),primary,breast,2019-02-24T01:01:00.000Z
SRR8615478,SNU8_OVARY,SRS4395341,SRX5414275,RNASeq-SNU8_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22962422720,12388136047,12.39,carcinoma (adenocarcinoma),primary,ovary,2019-02-23T23:24:00.000Z
SRR8615241,PANC0213_PANCREAS,SRS4395537,SRX5414512,RNASeq-PANC0213_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20745498576,10985245996,10.99,carcinoma,primary,pancreas,2019-02-23T22:56:00.000Z
SRR8615374,STM9101_SOFT_TISSUE,SRS4395422,SRX5414379,RNASeq-STM9101_SOFT_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,11518259372,5289955715,5.29,NA,NA,soft_tissue,2019-02-23T22:45:00.000Z
SRR8615511,KYSE450_OESOPHAGUS,SRS4395312,SRX5414242,RNASeq-KYSE450_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18299975476,9050642134,9.05,carcinoma (squamous_cell_carcinoma),primary,oesophagus,2019-02-23T23:28:00.000Z
SRR8615400,LN340_CENTRAL_NERVOUS_SYSTEM,SRS4395401,SRX5414353,RNASeq-LN340_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16583580870,8833610571,8.83,glioma (astrocytoma_Grade_IV),NA,central_nervous_system,2019-02-23T23:03:00.000Z
SRR8615672,TGBC11TKB_STOMACH,SRS4395250,SRX5414728,RNASeq-TGBC11TKB_STOMACH,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,11476392246,5442454378,5.44,carcinoma,metastasis,stomach,2019-02-23T23:21:00.000Z
SRR8615828,TE11_OESOPHAGUS,SRS4395591,SRX5414572,RNASeq-TE11_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19428949638,9735995726,9.74,carcinoma (squamous_cell_carcinoma),primary,oesophagus,2019-02-24T00:17:00.000Z
SRR8615399,LS123_LARGE_INTESTINE,SRS4395155,SRX5414354,RNASeq-LS123_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,13398299430,6349181210,6.35,carcinoma (adenocarcinoma),primary,large_intestine,2019-02-23T22:48:00.000Z
SRR8615995,HCC2429_LUNG,SRS4395968,SRX5415055,RNASeq-HCC2429_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,66897968928,35618477944,35.62,NA,NA,lung,2019-02-24T00:15:00.000Z
SRR8615819,HCC1143_BREAST,SRS4395598,SRX5414581,RNASeq-HCC1143_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16510396876,8266088434,8.27,carcinoma (ductal_carcinoma),primary,breast,2019-02-24T00:14:00.000Z
SRR8615517,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395306,SRX5414236,RNASeq-MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,23964865496,12757303516,12.76,lymphoid_neoplasm (mycosis_fungoides-Sezary_syndrome),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:40:00.000Z
SRR8615849,HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395574,SRX5414551,RNASeq-HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16625457692,8192109983,8.19,lymphoid_neoplasm (mycosis_fungoides-Sezary_syndrome),primary,haematopoietic_and_lymphoid_tissue,2019-02-24T00:09:00.000Z
SRR8615423,CORL279_LUNG,SRS4395383,SRX5414330,RNASeq-CORL279_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15685406858,7829625932,7.83,carcinoma (small_cell_carcinoma),metastasis,lung,2019-02-23T22:52:00.000Z
SRR8615608,NCIH1838_LUNG,SRS4395211,SRX5414792,RNASeq-NCIH1838_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,23257836610,12256581918,12.26,carcinoma (non_small_cell_carcinoma),primary,lung,2019-02-23T23:48:00.000Z
