,CellLine,Run,GCS_RNA_SRA_dirpaths,Tissue,Experiment,Sample,SRAStudy,ReleaseDate,LibraryName,LibrarySource,Sex,CenterName,size_MB,download_path
190,TOV112D,SRR8616085,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616085/,OVARY,SRX5414965,SRS4395899,SRP186687,2019-03-27 12:24:38,RNASeq-TOV112D_OVARY,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8592,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616085.sralite.1
191,PSN1,SRR8615974,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615974/,PANCREAS,SRX5415076,SRS4395984,SRP186687,2019-03-27 12:24:39,RNASeq-PSN1_PANCREAS,TRANSCRIPTOMIC,,BROAD INSTITUTE,8296,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615974.sralite.1
192,LI7,SRR8615387,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615387/,LIVER,SRX5414366,SRS4395410,SRP186687,2019-03-27 12:24:29,RNASeq-LI7_LIVER,TRANSCRIPTOMIC,,BROAD INSTITUTE,6523,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615387.sralite.1
193,CORL23,SRR8615425,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615425/,LUNG,SRX5414328,SRS4395381,SRP186687,2019-03-27 12:24:28,RNASeq-CORL23_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8663,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615425.sralite.1
194,DM3,SRR8616009,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616009/,FIBROBLAST,SRX5415041,SRS4395118,SRP186687,2019-03-27 12:24:39,RNASeq-DM3_FIBROBLAST,TRANSCRIPTOMIC,male,BROAD INSTITUTE,5914,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616009.sralite.1
195,MFE319,SRR8615235,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615235/,ENDOMETRIUM,SRX5414518,SRS4395543,SRP186687,2019-03-27 12:24:31,RNASeq-MFE319_ENDOMETRIUM,TRANSCRIPTOMIC,female,BROAD INSTITUTE,5621,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615235.sralite.1
196,ML1,SRR8616067,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616067/,THYROID,SRX5414983,SRS4395915,SRP186687,2019-03-27 12:24:38,RNASeq-ML1_THYROID,TRANSCRIPTOMIC,,BROAD INSTITUTE,11253,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616067.sralite.1
197,NCIH660,SRR8616157,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616157/,PROSTATE,SRX5414893,SRS4395840,SRP186687,2019-03-27 12:24:37,RNASeq-NCIH660_PROSTATE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,9333,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/616/SRR8616157.sralite.1
198,STM9101,SRR8615374,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615374/,SOFT_TISSUE,SRX5414379,SRS4395422,SRP186687,2019-03-27 12:24:29,RNASeq-STM9101_SOFT_TISSUE,TRANSCRIPTOMIC,,BROAD INSTITUTE,5044,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR008/8615/SRR8615374/SRR8615374.lite.1
199,LN319,SRR8615403,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615403/,CENTRAL_NERVOUS_SYSTEM,SRX5414350,SRS4395400,SRP186687,2019-03-27 12:24:29,RNASeq-LN319_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8232,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615403.sralite.1
200,KARPAS299,SRR8615715,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615715/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414685,SRS4395680,SRP186687,2019-03-27 12:24:33,RNASeq-KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,5799,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615715.sralite.1
201,WM2664,SRR8618314,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8618314/,SKIN,SRX5417202,SRS4397842,SRP186687,2019-03-27 12:24:41,RNASeq-WM2664_SKIN,TRANSCRIPTOMIC,female,BROAD INSTITUTE,4226,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/618/SRR8618314.sralite.1
202,KMS12BM,SRR8615351,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615351/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414402,SRS4395443,SRP186687,2019-03-27 12:24:29,RNASeq-KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8627,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615351.sralite.1
203,HT1376,SRR8616046,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616046/,URINARY_TRACT,SRX5415004,SRS4395931,SRP186687,2019-03-27 12:24:38,RNASeq-HT1376_URINARY_TRACT,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8436,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616046.sralite.1
204,BCP1,SRR8615772,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615772/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414628,SRS4395628,SRP186687,2019-03-27 12:24:33,RNASeq-BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,13104,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615772.sralite.1
205,NCIH2066,SRR8615253,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615253/,LUNG,SRX5414500,SRS4395526,SRP186687,2019-03-27 12:24:31,RNASeq-NCIH2066_LUNG,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8104,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615253.sralite.1
206,KARPAS620,SRR8615705,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615705/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414695,SRS4395689,SRP186687,2019-03-27 12:24:34,RNASeq-KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7948,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615705.sralite.1
207,HCC78,SRR8615460,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615460/,LUNG,SRX5414293,SRS4395286,SRP186687,2019-03-27 12:24:28,RNASeq-HCC78_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8478,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615460.sralite.1
208,LK2,SRR8615840,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615840/,LUNG,SRX5414560,SRS4395264,SRP186687,2019-03-27 12:24:32,RNASeq-LK2_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,6770,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615840.sralite.1
209,OAW28,SRR8615243,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615243/,OVARY,SRX5414510,SRS4395535,SRP186687,2019-03-27 12:24:31,RNASeq-OAW28_OVARY,TRANSCRIPTOMIC,female,BROAD INSTITUTE,11051,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615243.sralite.1
210,HCC515,SRR8615454,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615454/,LUNG,SRX5414299,SRS4395359,SRP186687,2019-03-27 12:24:28,RNASeq-HCC515_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,8343,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615454.sralite.1
211,JHESOAD1,SRR8615484,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615484/,OESOPHAGUS,SRX5414269,SRS4395335,SRP186687,2019-03-27 12:24:27,RNASeq-JHESOAD1_OESOPHAGUS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8556,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615484.sralite.1
212,SNU283,SRR8615307,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615307/,LARGE_INTESTINE,SRX5414446,SRS4395224,SRP186687,2019-03-27 12:24:30,RNASeq-SNU283_LARGE_INTESTINE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7682,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/8615/SRR8615307/SRR8615307.lite.1
213,EFM192A,SRR8615292,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615292/,BREAST,SRX5414461,SRS4395492,SRP186687,2019-03-27 12:24:30,RNASeq-EFM192A_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,12798,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615292.sralite.1
214,LS123,SRR8615399,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615399/,LARGE_INTESTINE,SRX5414354,SRS4395155,SRP186687,2019-03-27 12:24:29,RNASeq-LS123_LARGE_INTESTINE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6055,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615399.sralite.1
215,KD,SRR8615364,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615364/,SOFT_TISSUE,SRX5414389,SRS4395430,SRP186687,2019-03-27 12:24:29,RNASeq-KD_SOFT_TISSUE,TRANSCRIPTOMIC,,BROAD INSTITUTE,5223,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615364.sralite.1
216,SW1417,SRR8615563,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615563/,LARGE_INTESTINE,SRX5414837,SRS4395257,SRP186687,2019-03-27 12:24:36,RNASeq-SW1417_LARGE_INTESTINE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6055,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615563.sralite.1
217,HEC59,SRR8615625,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615625/,ENDOMETRIUM,SRX5414775,SRS4395757,SRP186687,2019-03-27 12:24:35,RNASeq-HEC59_ENDOMETRIUM,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7520,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615625.sralite.1
218,SNU216,SRR8615309,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615309/,STOMACH,SRX5414444,SRS4395225,SRP186687,2019-03-27 12:24:30,RNASeq-SNU216_STOMACH,TRANSCRIPTOMIC,female,BROAD INSTITUTE,10474,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615309.sralite.1
219,KMS34,SRR8615941,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615941/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5415109,SRS4396011,SRP186687,2019-03-27 12:24:40,RNASeq-KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,9088,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615941.sralite.1
220,NCIH2171,SRR8616107,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616107/,LUNG,SRX5414943,SRS4395881,SRP186687,2019-03-27 12:24:37,RNASeq-NCIH2171_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6055,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616107.sralite.1
221,OCUM1,SRR8615225,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615225/,STOMACH,SRX5414528,SRS4395553,SRP186687,2019-03-27 12:24:31,RNASeq-OCUM1_STOMACH,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8077,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615225.sralite.1
222,L1236,SRR8615479,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615479/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414274,SRS4395340,SRP186687,2019-03-27 12:24:28,RNASeq-L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6967,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615479.sralite.1
223,MHHES1,SRR8615521,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615521/,BONE,SRX5414232,SRS4395156,SRP186687,2019-03-27 12:24:27,RNASeq-MHHES1_BONE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,10453,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615521.sralite.1
224,MALME3M,SRR8615759,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615759/,SKIN,SRX5414641,SRS4395159,SRP186687,2019-03-27 12:24:33,RNASeq-MALME3M_SKIN,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7065,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615759.sralite.1
225,SW1710,SRR8615562,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615562/,URINARY_TRACT,SRX5414838,SRS4395796,SRP186687,2019-03-27 12:24:36,RNASeq-SW1710_URINARY_TRACT,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6925,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615562.sralite.1
226,SW1271,SRR8615245,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615245/,LUNG,SRX5414508,SRS4395533,SRP186687,2019-03-27 12:24:31,RNASeq-SW1271_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8786,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615245.sralite.1
227,OVCAR4,SRR8615870,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615870/,OVARY,SRX5415179,SRS4396074,SRP186687,2019-03-27 12:24:41,RNASeq-OVCAR4_OVARY,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7978,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615870.sralite.1
228,ABC1,SRR8615407,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615407/,LUNG,SRX5414346,SRS4395397,SRP186687,2019-03-27 12:24:29,RNASeq-ABC1_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7552,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615407.sralite.1
229,NCIH684,SRR8616159,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616159/,LIVER,SRX5414891,SRS4395838,SRP186687,2019-03-27 12:24:37,RNASeq-NCIH684_LIVER,TRANSCRIPTOMIC,,BROAD INSTITUTE,12943,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616159.sralite.1
230,F36P,SRR8616216,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616216/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5415186,SRS4396080,SRP186687,2019-03-27 12:24:41,RNASeq-F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,9284,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616216.sralite.1
231,HCC1954,SRR8616174,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616174/,BREAST,SRX5414876,SRS4395824,SRP186687,2019-03-27 12:24:36,RNASeq-HCC1954_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7674,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616174.sralite.1
232,8MGBA,SRR8615647,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615647/,CENTRAL_NERVOUS_SYSTEM,SRX5414753,SRS4395738,SRP186687,2019-03-27 12:24:34,RNASeq-8MGBA_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,female,BROAD INSTITUTE,9044,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615647.sralite.1
233,SW900,SRR8615853,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615853/,LUNG,SRX5414547,SRS4395570,SRP186687,2019-03-27 12:24:31,RNASeq-SW900_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7897,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615853.sralite.1
234,CA46,SRR8616193,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616193/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5415209,SRS4396099,SRP186687,2019-03-27 12:24:41,RNASeq-CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11568,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616193.sralite.1
235,SNU899,SRR8615477,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615477/,UPPER_AERODIGESTIVE_TRACT,SRX5414276,SRS4395342,SRP186687,2019-03-27 12:24:28,RNASeq-SNU899_UPPER_AERODIGESTIVE_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7591,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/8615/SRR8615477/SRR8615477.lite.1
236,JIMT1,SRR8615558,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615558/,BREAST,SRX5414842,SRS4395799,SRP186687,2019-03-27 12:24:36,RNASeq-JIMT1_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6613,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615558.sralite.1
237,RERFLCMS,SRR8615993,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615993/,LUNG,SRX5415057,SRS4395970,SRP186687,2019-03-27 12:24:39,RNASeq-RERFLCMS_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,7682,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615993.sralite.1
238,PANC0813,SRR8615371,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615371/,PANCREAS,SRX5414382,SRS4395425,SRP186687,2019-03-27 12:24:29,RNASeq-PANC0813_PANCREAS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6994,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615371.sralite.1
239,LUDLU1,SRR8615402,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615402/,LUNG,SRX5414351,SRS4395153,SRP186687,2019-03-27 12:24:29,RNASeq-LUDLU1_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,5939,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615402.sralite.1
240,NCIH1650,SRR8615987,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615987/,LUNG,SRX5415063,SRS4395975,SRP186687,2019-03-27 12:24:39,RNASeq-NCIH1650_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,9446,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615987.sralite.1
241,HCC1395,SRR8615822,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615822/,BREAST,SRX5414578,SRS4395595,SRP186687,2019-03-27 12:24:32,RNASeq-HCC1395_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8656,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR008/8615/SRR8615822/SRR8615822.lite.1
242,MDAMB134VI,SRR8615755,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615755/,BREAST,SRX5414645,SRS4395642,SRP186687,2019-03-27 12:24:33,RNASeq-MDAMB134VI_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6319,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615755.sralite.1
243,OVISE,SRR8615879,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615879/,OVARY,SRX5415171,SRS4396067,SRP186687,2019-03-27 12:24:40,RNASeq-OVISE_OVARY,TRANSCRIPTOMIC,female,BROAD INSTITUTE,10413,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615879.sralite.1
244,L540,SRR8615683,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615683/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414717,SRS4395709,SRP186687,2019-03-27 12:24:34,RNASeq-L540_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,5576,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615683.sralite.1
245,TT2609C02,SRR8615728,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615728/,THYROID,SRX5414672,SRS4395669,SRP186687,2019-03-27 12:24:33,RNASeq-TT2609C02_THYROID,TRANSCRIPTOMIC,male,BROAD INSTITUTE,5540,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615728.sralite.1
246,T98G,SRR8615830,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615830/,CENTRAL_NERVOUS_SYSTEM,SRX5414570,SRS4395589,SRP186687,2019-03-27 12:24:32,RNASeq-T98G_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7662,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615830.sralite.1
247,EJM,SRR8615285,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615285/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414468,SRS4395498,SRP186687,2019-03-27 12:24:30,RNASeq-EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8908,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615285.sralite.1
248,A549,SRR8616017,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616017/,LUNG,SRX5415033,SRS4395951,SRP186687,2019-03-27 12:24:39,RNASeq-A549_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8693,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616017.sralite.1
249,HPAFII,SRR8616209,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616209/,PANCREAS,SRX5415193,SRS4396087,SRP186687,2019-03-27 12:24:41,RNASeq-HPAFII_PANCREAS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11126,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/616/SRR8616209.sralite.1
250,SIHA,SRR8615676,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615676/,CERVIX,SRX5414724,SRS4395715,SRP186687,2019-03-27 12:24:34,RNASeq-SIHA_CERVIX,TRANSCRIPTOMIC,,BROAD INSTITUTE,9781,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615676.sralite.1
251,MDAMB361,SRR8615581,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615581/,BREAST,SRX5414819,SRS4395783,SRP186687,2019-03-27 12:24:35,RNASeq-MDAMB361_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,2995,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615581.sralite.1
252,C2BBE1,SRR8616200,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616200/,LARGE_INTESTINE,SRX5415202,SRS4396092,SRP186687,2019-03-27 12:24:41,RNASeq-C2BBE1_LARGE_INTESTINE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8372,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616200.sralite.1
253,MC116,SRR8615760,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615760/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414640,SRS4395639,SRP186687,2019-03-27 12:24:33,RNASeq-MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6368,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615760.sralite.1
254,MDAMB231,SRR8615767,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615767/,BREAST,SRX5414633,SRS4395632,SRP186687,2019-03-27 12:24:33,RNASeq-MDAMB231_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6186,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615767.sralite.1
